Test ID,Test Suite,Test Case Name,Execution Time (ms),Status
SEL-0055,WebE2ETest,Request_SubmitEmergency_variation_55,2599,PASSED
SEL-0056,WebE2ETest,Notifications_ClearAll_variation_56,2097,PASSED
SEL-0057,WebE2ETest,Login_InvalidPassword_variation_57,2184,PASSED
SEL-0058,WebE2ETest,Profile_UpdateAvatar_variation_58,2630,PASSED
SEL-0059,WebE2ETest,Profile_UpdateAvatar_variation_59,2727,PASSED
SEL-0060,WebE2ETest,Notifications_ClearAll_variation_60,1815,PASSED
SEL-0061,WebE2ETest,Logout_Success_variation_61,2530,PASSED
SEL-0062,WebE2ETest,Search_DonorByBloodGroup_variation_62,4452,PASSED
SEL-0063,WebE2ETest,Notifications_ClearAll_variation_63,3932,PASSED
SEL-0064,WebE2ETest,Search_DonorByBloodGroup_variation_64,3375,PASSED
SEL-0065,WebE2ETest,Login_InvalidPassword_variation_65,2054,PASSED
SEL-0066,WebE2ETest,Request_SubmitEmergency_variation_66,1527,PASSED
SEL-0067,WebE2ETest,Profile_UpdateAvatar_variation_67,2860,PASSED
SEL-0068,WebE2ETest,Profile_UpdateAvatar_variation_68,2849,PASSED
SEL-0069,WebE2ETest,Notifications_ClearAll_variation_69,2871,PASSED
SEL-0070,WebE2ETest,Profile_UpdateAvatar_variation_70,4166,PASSED
SEL-0071,WebE2ETest,Dashboard_LoadData_variation_71,2730,PASSED
SEL-0072,WebE2ETest,Logout_Success_variation_72,3970,PASSED
SEL-0073,WebE2ETest,Search_DonorByBloodGroup_variation_73,3462,PASSED
SEL-0074,WebE2ETest,Logout_Success_variation_74,2227,PASSED
SEL-0075,WebE2ETest,Profile_UpdateAvatar_variation_75,2807,PASSED
SEL-0076,WebE2ETest,Request_SubmitEmergency_variation_76,4346,PASSED
SEL-0077,WebE2ETest,Notifications_ClearAll_variation_77,3858,PASSED
SEL-0078,WebE2ETest,Search_DonorByBloodGroup_variation_78,2834,PASSED
SEL-0079,WebE2ETest,Profile_UpdateAvatar_variation_79,2648,PASSED
SEL-0080,WebE2ETest,Profile_UpdateAvatar_variation_80,2995,PASSED
SEL-0081,WebE2ETest,Login_InvalidPassword_variation_81,3809,PASSED
SEL-0082,WebE2ETest,Search_DonorByBloodGroup_variation_82,3925,PASSED
SEL-0083,WebE2ETest,Settings_ToggleDarkMode_variation_83,2236,PASSED
SEL-0084,WebE2ETest,Settings_ToggleDarkMode_variation_84,1610,PASSED
SEL-0085,WebE2ETest,Notifications_ClearAll_variation_85,4401,PASSED
SEL-0086,WebE2ETest,Search_DonorByBloodGroup_variation_86,3295,PASSED
SEL-0087,WebE2ETest,Request_SubmitEmergency_variation_87,4337,PASSED
SEL-0088,WebE2ETest,Login_InvalidPassword_variation_88,3175,PASSED
SEL-0089,WebE2ETest,Notifications_ClearAll_variation_89,2070,PASSED
SEL-0090,WebE2ETest,Request_SubmitEmergency_variation_90,2491,PASSED
SEL-0091,WebE2ETest,Request_SubmitEmergency_variation_91,4197,PASSED
SEL-0092,WebE2ETest,Dashboard_LoadData_variation_92,4429,PASSED
SEL-0093,WebE2ETest,Profile_UpdateAvatar_variation_93,3044,PASSED
SEL-0094,WebE2ETest,Login_InvalidPassword_variation_94,3339,PASSED
SEL-0095,WebE2ETest,Notifications_ClearAll_variation_95,3884,PASSED
SEL-0096,WebE2ETest,Profile_UpdateAvatar_variation_96,3688,PASSED
SEL-0097,WebE2ETest,Settings_ToggleDarkMode_variation_97,4333,PASSED
SEL-0098,WebE2ETest,Profile_UpdateAvatar_variation_98,3726,PASSED
SEL-0099,WebE2ETest,Login_ValidUser_variation_99,2972,PASSED
SEL-0100,WebE2ETest,Settings_ToggleDarkMode_variation_100,3932,PASSED
SEL-0101,WebE2ETest,Login_InvalidPassword_variation_101,1947,PASSED
SEL-0102,WebE2ETest,Search_DonorByBloodGroup_variation_102,4193,PASSED
SEL-0103,WebE2ETest,Logout_Success_variation_103,2181,PASSED
SEL-0104,WebE2ETest,Login_ValidUser_variation_104,3806,PASSED
SEL-0105,WebE2ETest,Profile_UpdateAvatar_variation_105,2858,PASSED
SEL-0106,WebE2ETest,Profile_UpdateAvatar_variation_106,1933,PASSED
SEL-0107,WebE2ETest,Login_ValidUser_variation_107,1903,PASSED
SEL-0108,WebE2ETest,Request_SubmitEmergency_variation_108,2409,PASSED
SEL-0109,WebE2ETest,Settings_ToggleDarkMode_variation_109,3624,PASSED
SEL-0110,WebE2ETest,Settings_ToggleDarkMode_variation_110,3877,PASSED
SEL-0111,WebE2ETest,Search_DonorByBloodGroup_variation_111,3325,PASSED
SEL-0112,WebE2ETest,Logout_Success_variation_112,3102,PASSED
SEL-0113,WebE2ETest,Notifications_ClearAll_variation_113,4283,PASSED
SEL-0114,WebE2ETest,Settings_ToggleDarkMode_variation_114,2117,PASSED
SEL-0115,WebE2ETest,Logout_Success_variation_115,1600,PASSED
SEL-0116,WebE2ETest,Notifications_ClearAll_variation_116,1928,PASSED
SEL-0117,WebE2ETest,Request_SubmitEmergency_variation_117,3203,PASSED
SEL-0118,WebE2ETest,Login_InvalidPassword_variation_118,1975,PASSED
SEL-0119,WebE2ETest,Dashboard_LoadData_variation_119,2926,PASSED
SEL-0120,WebE2ETest,Request_SubmitEmergency_variation_120,2905,PASSED
SEL-0121,WebE2ETest,Notifications_ClearAll_variation_121,2347,PASSED
SEL-0122,WebE2ETest,Settings_ToggleDarkMode_variation_122,3478,PASSED
SEL-0123,WebE2ETest,Logout_Success_variation_123,3450,PASSED
SEL-0124,WebE2ETest,Login_InvalidPassword_variation_124,3294,PASSED
SEL-0125,WebE2ETest,Notifications_ClearAll_variation_125,2806,PASSED
SEL-0126,WebE2ETest,Login_InvalidPassword_variation_126,2729,PASSED
SEL-0127,WebE2ETest,Login_ValidUser_variation_127,4411,PASSED
SEL-0128,WebE2ETest,Login_InvalidPassword_variation_128,1592,PASSED
SEL-0129,WebE2ETest,Logout_Success_variation_129,4154,PASSED
SEL-0130,WebE2ETest,Login_InvalidPassword_variation_130,4273,PASSED
SEL-0131,WebE2ETest,Dashboard_LoadData_variation_131,2499,PASSED
SEL-0132,WebE2ETest,Settings_ToggleDarkMode_variation_132,2214,PASSED
SEL-0133,WebE2ETest,Settings_ToggleDarkMode_variation_133,2155,PASSED
SEL-0134,WebE2ETest,Logout_Success_variation_134,3793,PASSED
SEL-0135,WebE2ETest,Profile_UpdateAvatar_variation_135,3392,PASSED
SEL-0136,WebE2ETest,Search_DonorByBloodGroup_variation_136,3159,PASSED
SEL-0137,WebE2ETest,Dashboard_LoadData_variation_137,2263,PASSED
SEL-0138,WebE2ETest,Profile_UpdateAvatar_variation_138,3120,PASSED
SEL-0139,WebE2ETest,Login_ValidUser_variation_139,4015,PASSED
SEL-0140,WebE2ETest,Search_DonorByBloodGroup_variation_140,3341,PASSED
SEL-0141,WebE2ETest,Profile_UpdateAvatar_variation_141,3092,PASSED
SEL-0142,WebE2ETest,Login_ValidUser_variation_142,4386,PASSED
SEL-0143,WebE2ETest,Search_DonorByBloodGroup_variation_143,2342,PASSED
SEL-0144,WebE2ETest,Request_SubmitEmergency_variation_144,4382,PASSED
SEL-0145,WebE2ETest,Login_InvalidPassword_variation_145,3864,PASSED
SEL-0146,WebE2ETest,Login_InvalidPassword_variation_146,3699,PASSED
SEL-0147,WebE2ETest,Dashboard_LoadData_variation_147,2998,PASSED
SEL-0148,WebE2ETest,Logout_Success_variation_148,2307,PASSED
SEL-0149,WebE2ETest,Notifications_ClearAll_variation_149,1966,PASSED
SEL-0150,WebE2ETest,Request_SubmitEmergency_variation_150,4247,PASSED
SEL-0151,WebE2ETest,Notifications_ClearAll_variation_151,3661,PASSED
SEL-0152,WebE2ETest,Logout_Success_variation_152,3945,PASSED
SEL-0153,WebE2ETest,Profile_UpdateAvatar_variation_153,4003,PASSED
SEL-0154,WebE2ETest,Profile_UpdateAvatar_variation_154,3904,PASSED
SEL-0155,WebE2ETest,Login_InvalidPassword_variation_155,2925,PASSED
SEL-0156,WebE2ETest,Logout_Success_variation_156,3375,PASSED
SEL-0157,WebE2ETest,Dashboard_LoadData_variation_157,4259,PASSED
SEL-0158,WebE2ETest,Request_SubmitEmergency_variation_158,4016,PASSED
SEL-0159,WebE2ETest,Login_InvalidPassword_variation_159,4252,PASSED
SEL-0160,WebE2ETest,Dashboard_LoadData_variation_160,2782,PASSED
SEL-0161,WebE2ETest,Login_InvalidPassword_variation_161,2477,PASSED
SEL-0162,WebE2ETest,Request_SubmitEmergency_variation_162,1979,PASSED
SEL-0163,WebE2ETest,Dashboard_LoadData_variation_163,3029,PASSED
SEL-0164,WebE2ETest,Dashboard_LoadData_variation_164,3592,PASSED
SEL-0165,WebE2ETest,Profile_UpdateAvatar_variation_165,3213,PASSED
SEL-0166,WebE2ETest,Dashboard_LoadData_variation_166,3854,PASSED
SEL-0167,WebE2ETest,Profile_UpdateAvatar_variation_167,3232,PASSED
SEL-0168,WebE2ETest,Dashboard_LoadData_variation_168,3493,PASSED
SEL-0169,WebE2ETest,Settings_ToggleDarkMode_variation_169,4340,PASSED
SEL-0170,WebE2ETest,Dashboard_LoadData_variation_170,3772,PASSED
SEL-0171,WebE2ETest,Dashboard_LoadData_variation_171,3505,PASSED
SEL-0172,WebE2ETest,Request_SubmitEmergency_variation_172,2074,PASSED
SEL-0173,WebE2ETest,Dashboard_LoadData_variation_173,2788,PASSED
SEL-0174,WebE2ETest,Notifications_ClearAll_variation_174,4037,PASSED
SEL-0175,WebE2ETest,Login_ValidUser_variation_175,2970,PASSED
SEL-0176,WebE2ETest,Login_ValidUser_variation_176,3484,PASSED
SEL-0177,WebE2ETest,Dashboard_LoadData_variation_177,2299,PASSED
SEL-0178,WebE2ETest,Profile_UpdateAvatar_variation_178,3800,PASSED
SEL-0179,WebE2ETest,Settings_ToggleDarkMode_variation_179,4174,PASSED
SEL-0180,WebE2ETest,Notifications_ClearAll_variation_180,3175,PASSED
SEL-0181,WebE2ETest,Notifications_ClearAll_variation_181,3202,PASSED
SEL-0182,WebE2ETest,Notifications_ClearAll_variation_182,3501,PASSED
SEL-0183,WebE2ETest,Dashboard_LoadData_variation_183,1838,PASSED
SEL-0184,WebE2ETest,Login_ValidUser_variation_184,2403,PASSED
SEL-0185,WebE2ETest,Request_SubmitEmergency_variation_185,1633,PASSED
SEL-0186,WebE2ETest,Request_SubmitEmergency_variation_186,2420,PASSED
SEL-0187,WebE2ETest,Settings_ToggleDarkMode_variation_187,2682,PASSED
SEL-0188,WebE2ETest,Dashboard_LoadData_variation_188,3373,PASSED
SEL-0189,WebE2ETest,Notifications_ClearAll_variation_189,3751,PASSED
SEL-0190,WebE2ETest,Settings_ToggleDarkMode_variation_190,1963,PASSED
SEL-0191,WebE2ETest,Login_InvalidPassword_variation_191,2597,PASSED
SEL-0192,WebE2ETest,Settings_ToggleDarkMode_variation_192,3002,PASSED
SEL-0193,WebE2ETest,Settings_ToggleDarkMode_variation_193,1670,PASSED
SEL-0194,WebE2ETest,Notifications_ClearAll_variation_194,3737,PASSED
SEL-0195,WebE2ETest,Search_DonorByBloodGroup_variation_195,3241,PASSED
SEL-0196,WebE2ETest,Login_InvalidPassword_variation_196,4177,PASSED
SEL-0197,WebE2ETest,Search_DonorByBloodGroup_variation_197,2719,PASSED
SEL-0198,WebE2ETest,Login_ValidUser_variation_198,3342,PASSED
SEL-0199,WebE2ETest,Request_SubmitEmergency_variation_199,2927,PASSED
SEL-0200,WebE2ETest,Login_InvalidPassword_variation_200,3298,PASSED
SEL-0201,WebE2ETest,Login_InvalidPassword_variation_201,2470,PASSED
SEL-0202,WebE2ETest,Search_DonorByBloodGroup_variation_202,3908,PASSED
SEL-0203,WebE2ETest,Logout_Success_variation_203,4411,PASSED
SEL-0204,WebE2ETest,Profile_UpdateAvatar_variation_204,2179,PASSED
SEL-0205,WebE2ETest,Dashboard_LoadData_variation_205,2346,PASSED
SEL-0206,WebE2ETest,Search_DonorByBloodGroup_variation_206,1743,PASSED
SEL-0207,WebE2ETest,Logout_Success_variation_207,3680,PASSED
SEL-0208,WebE2ETest,Request_SubmitEmergency_variation_208,3944,PASSED
SEL-0209,WebE2ETest,Settings_ToggleDarkMode_variation_209,2189,PASSED
SEL-0210,WebE2ETest,Logout_Success_variation_210,4383,PASSED
SEL-0211,WebE2ETest,Request_SubmitEmergency_variation_211,2685,PASSED
SEL-0212,WebE2ETest,Request_SubmitEmergency_variation_212,3607,PASSED
SEL-0213,WebE2ETest,Login_InvalidPassword_variation_213,2055,PASSED
SEL-0214,WebE2ETest,Profile_UpdateAvatar_variation_214,1742,PASSED
SEL-0215,WebE2ETest,Request_SubmitEmergency_variation_215,4186,PASSED
SEL-0216,WebE2ETest,Dashboard_LoadData_variation_216,4373,PASSED
SEL-0217,WebE2ETest,Dashboard_LoadData_variation_217,2522,PASSED
SEL-0218,WebE2ETest,Dashboard_LoadData_variation_218,4413,PASSED
SEL-0219,WebE2ETest,Logout_Success_variation_219,2513,PASSED
SEL-0220,WebE2ETest,Profile_UpdateAvatar_variation_220,3504,PASSED
SEL-0221,WebE2ETest,Dashboard_LoadData_variation_221,3865,PASSED
SEL-0222,WebE2ETest,Request_SubmitEmergency_variation_222,4071,PASSED
SEL-0223,WebE2ETest,Profile_UpdateAvatar_variation_223,3036,PASSED
SEL-0224,WebE2ETest,Notifications_ClearAll_variation_224,1809,PASSED
SEL-0225,WebE2ETest,Login_InvalidPassword_variation_225,3150,PASSED
SEL-0226,WebE2ETest,Settings_ToggleDarkMode_variation_226,2639,PASSED
SEL-0227,WebE2ETest,Logout_Success_variation_227,3362,PASSED
SEL-0228,WebE2ETest,Notifications_ClearAll_variation_228,2840,PASSED
SEL-0229,WebE2ETest,Login_ValidUser_variation_229,1881,PASSED
SEL-0230,WebE2ETest,Notifications_ClearAll_variation_230,4100,PASSED
SEL-0231,WebE2ETest,Logout_Success_variation_231,1759,PASSED
SEL-0232,WebE2ETest,Settings_ToggleDarkMode_variation_232,3129,PASSED
SEL-0233,WebE2ETest,Search_DonorByBloodGroup_variation_233,3259,PASSED
SEL-0234,WebE2ETest,Search_DonorByBloodGroup_variation_234,3526,PASSED
SEL-0235,WebE2ETest,Request_SubmitEmergency_variation_235,2822,PASSED
SEL-0236,WebE2ETest,Request_SubmitEmergency_variation_236,2883,PASSED
SEL-0237,WebE2ETest,Settings_ToggleDarkMode_variation_237,3867,PASSED
SEL-0238,WebE2ETest,Dashboard_LoadData_variation_238,3818,PASSED
SEL-0239,WebE2ETest,Notifications_ClearAll_variation_239,2907,PASSED
SEL-0240,WebE2ETest,Login_ValidUser_variation_240,1688,PASSED
SEL-0241,WebE2ETest,Login_InvalidPassword_variation_241,4064,PASSED
SEL-0242,WebE2ETest,Notifications_ClearAll_variation_242,1566,PASSED
SEL-0243,WebE2ETest,Login_InvalidPassword_variation_243,2147,PASSED
SEL-0244,WebE2ETest,Notifications_ClearAll_variation_244,3369,PASSED
SEL-0245,WebE2ETest,Login_ValidUser_variation_245,3252,PASSED
SEL-0246,WebE2ETest,Search_DonorByBloodGroup_variation_246,4320,PASSED
SEL-0247,WebE2ETest,Dashboard_LoadData_variation_247,4162,PASSED
SEL-0248,WebE2ETest,Request_SubmitEmergency_variation_248,2151,PASSED
SEL-0249,WebE2ETest,Request_SubmitEmergency_variation_249,1882,PASSED
SEL-0250,WebE2ETest,Logout_Success_variation_250,2525,PASSED
SEL-0251,WebE2ETest,Login_InvalidPassword_variation_251,3023,PASSED
SEL-0252,WebE2ETest,Dashboard_LoadData_variation_252,1712,PASSED
SEL-0253,WebE2ETest,Profile_UpdateAvatar_variation_253,4062,PASSED
SEL-0254,WebE2ETest,Request_SubmitEmergency_variation_254,4473,PASSED
SEL-0255,WebE2ETest,Search_DonorByBloodGroup_variation_255,3258,PASSED
SEL-0256,WebE2ETest,Login_InvalidPassword_variation_256,4382,PASSED
SEL-0257,WebE2ETest,Login_InvalidPassword_variation_257,1504,PASSED
SEL-0258,WebE2ETest,Search_DonorByBloodGroup_variation_258,3453,PASSED
SEL-0259,WebE2ETest,Login_InvalidPassword_variation_259,2043,PASSED
SEL-0260,WebE2ETest,Search_DonorByBloodGroup_variation_260,3627,PASSED
SEL-0261,WebE2ETest,Notifications_ClearAll_variation_261,1538,PASSED
SEL-0262,WebE2ETest,Login_ValidUser_variation_262,4349,PASSED
SEL-0263,WebE2ETest,Logout_Success_variation_263,1993,PASSED
SEL-0264,WebE2ETest,Profile_UpdateAvatar_variation_264,4342,PASSED
SEL-0265,WebE2ETest,Dashboard_LoadData_variation_265,3456,PASSED
SEL-0266,WebE2ETest,Login_InvalidPassword_variation_266,2437,PASSED
SEL-0267,WebE2ETest,Profile_UpdateAvatar_variation_267,1865,PASSED
SEL-0268,WebE2ETest,Login_InvalidPassword_variation_268,1922,PASSED
SEL-0269,WebE2ETest,Logout_Success_variation_269,3005,PASSED
SEL-0270,WebE2ETest,Request_SubmitEmergency_variation_270,2061,PASSED
SEL-0271,WebE2ETest,Profile_UpdateAvatar_variation_271,2045,PASSED
SEL-0272,WebE2ETest,Dashboard_LoadData_variation_272,1780,PASSED
SEL-0273,WebE2ETest,Settings_ToggleDarkMode_variation_273,3807,PASSED
SEL-0274,WebE2ETest,Login_ValidUser_variation_274,3999,PASSED
SEL-0275,WebE2ETest,Dashboard_LoadData_variation_275,3302,PASSED
SEL-0276,WebE2ETest,Logout_Success_variation_276,4459,PASSED
SEL-0277,WebE2ETest,Search_DonorByBloodGroup_variation_277,4072,PASSED
SEL-0278,WebE2ETest,Dashboard_LoadData_variation_278,3186,PASSED
SEL-0279,WebE2ETest,Notifications_ClearAll_variation_279,2389,PASSED
SEL-0280,WebE2ETest,Login_InvalidPassword_variation_280,1911,PASSED
SEL-0281,WebE2ETest,Dashboard_LoadData_variation_281,2004,PASSED
SEL-0282,WebE2ETest,Profile_UpdateAvatar_variation_282,2939,PASSED
SEL-0283,WebE2ETest,Profile_UpdateAvatar_variation_283,2788,PASSED
SEL-0284,WebE2ETest,Dashboard_LoadData_variation_284,2514,PASSED
SEL-0285,WebE2ETest,Request_SubmitEmergency_variation_285,4140,PASSED
SEL-0286,WebE2ETest,Login_InvalidPassword_variation_286,2516,PASSED
SEL-0287,WebE2ETest,Settings_ToggleDarkMode_variation_287,3961,PASSED
SEL-0288,WebE2ETest,Request_SubmitEmergency_variation_288,4328,PASSED
SEL-0289,WebE2ETest,Login_ValidUser_variation_289,4196,PASSED
SEL-0290,WebE2ETest,Request_SubmitEmergency_variation_290,2341,PASSED
SEL-0291,WebE2ETest,Settings_ToggleDarkMode_variation_291,3985,PASSED
SEL-0292,WebE2ETest,Settings_ToggleDarkMode_variation_292,2272,PASSED
SEL-0293,WebE2ETest,Profile_UpdateAvatar_variation_293,2710,PASSED
SEL-0294,WebE2ETest,Login_ValidUser_variation_294,2480,PASSED
SEL-0295,WebE2ETest,Notifications_ClearAll_variation_295,3080,PASSED
SEL-0296,WebE2ETest,Login_InvalidPassword_variation_296,2487,PASSED
SEL-0297,WebE2ETest,Notifications_ClearAll_variation_297,4113,PASSED
SEL-0298,WebE2ETest,Login_InvalidPassword_variation_298,3663,PASSED
SEL-0299,WebE2ETest,Login_ValidUser_variation_299,2979,PASSED
SEL-0300,WebE2ETest,Logout_Success_variation_300,2040,PASSED
SEL-0301,WebE2ETest,Profile_UpdateAvatar_variation_301,3828,PASSED
SEL-0302,WebE2ETest,Profile_UpdateAvatar_variation_302,2996,PASSED
SEL-0303,WebE2ETest,Settings_ToggleDarkMode_variation_303,4297,PASSED
SEL-0304,WebE2ETest,Dashboard_LoadData_variation_304,3429,PASSED
SEL-0305,WebE2ETest,Login_InvalidPassword_variation_305,1568,PASSED
SEL-0306,WebE2ETest,Login_InvalidPassword_variation_306,1556,PASSED
SEL-0307,WebE2ETest,Request_SubmitEmergency_variation_307,2383,PASSED
SEL-0308,WebE2ETest,Login_ValidUser_variation_308,1747,PASSED
SEL-0309,WebE2ETest,Profile_UpdateAvatar_variation_309,3575,PASSED
SEL-0310,WebE2ETest,Request_SubmitEmergency_variation_310,4074,PASSED
SEL-0311,WebE2ETest,Settings_ToggleDarkMode_variation_311,3201,PASSED
SEL-0312,WebE2ETest,Profile_UpdateAvatar_variation_312,4374,PASSED
SEL-0313,WebE2ETest,Profile_UpdateAvatar_variation_313,1837,PASSED
SEL-0314,WebE2ETest,Settings_ToggleDarkMode_variation_314,3702,PASSED
SEL-0315,WebE2ETest,Dashboard_LoadData_variation_315,2636,PASSED
SEL-0316,WebE2ETest,Login_InvalidPassword_variation_316,2769,PASSED
SEL-0317,WebE2ETest,Login_InvalidPassword_variation_317,3594,PASSED
SEL-0318,WebE2ETest,Search_DonorByBloodGroup_variation_318,2136,PASSED
SEL-0319,WebE2ETest,Settings_ToggleDarkMode_variation_319,2838,PASSED
SEL-0320,WebE2ETest,Profile_UpdateAvatar_variation_320,3902,PASSED
SEL-0321,WebE2ETest,Login_InvalidPassword_variation_321,2770,PASSED
SEL-0322,WebE2ETest,Profile_UpdateAvatar_variation_322,4489,PASSED
SEL-0323,WebE2ETest,Search_DonorByBloodGroup_variation_323,1737,PASSED
SEL-0324,WebE2ETest,Search_DonorByBloodGroup_variation_324,1853,PASSED
SEL-0325,WebE2ETest,Profile_UpdateAvatar_variation_325,1975,PASSED
SEL-0326,WebE2ETest,Notifications_ClearAll_variation_326,4007,PASSED
SEL-0327,WebE2ETest,Login_ValidUser_variation_327,2766,PASSED
SEL-0328,WebE2ETest,Dashboard_LoadData_variation_328,1989,PASSED
SEL-0329,WebE2ETest,Login_ValidUser_variation_329,4399,PASSED
SEL-0330,WebE2ETest,Dashboard_LoadData_variation_330,4373,PASSED
SEL-0331,WebE2ETest,Login_ValidUser_variation_331,2171,PASSED
SEL-0332,WebE2ETest,Notifications_ClearAll_variation_332,2920,PASSED
SEL-0333,WebE2ETest,Settings_ToggleDarkMode_variation_333,3618,PASSED
SEL-0334,WebE2ETest,Request_SubmitEmergency_variation_334,2183,PASSED
SEL-0335,WebE2ETest,Logout_Success_variation_335,2019,PASSED
SEL-0336,WebE2ETest,Request_SubmitEmergency_variation_336,1983,PASSED
SEL-0337,WebE2ETest,Login_ValidUser_variation_337,2872,PASSED
SEL-0338,WebE2ETest,Profile_UpdateAvatar_variation_338,2614,PASSED
SEL-0339,WebE2ETest,Settings_ToggleDarkMode_variation_339,1761,PASSED
SEL-0340,WebE2ETest,Request_SubmitEmergency_variation_340,4417,PASSED
SEL-0341,WebE2ETest,Login_InvalidPassword_variation_341,3532,PASSED
SEL-0342,WebE2ETest,Notifications_ClearAll_variation_342,3592,PASSED
SEL-0343,WebE2ETest,Logout_Success_variation_343,1727,PASSED
SEL-0344,WebE2ETest,Notifications_ClearAll_variation_344,3821,PASSED
SEL-0345,WebE2ETest,Dashboard_LoadData_variation_345,3006,PASSED
SEL-0346,WebE2ETest,Dashboard_LoadData_variation_346,2544,PASSED
SEL-0347,WebE2ETest,Login_InvalidPassword_variation_347,3850,PASSED
SEL-0348,WebE2ETest,Login_InvalidPassword_variation_348,2435,PASSED
SEL-0349,WebE2ETest,Settings_ToggleDarkMode_variation_349,1510,PASSED
SEL-0350,WebE2ETest,Login_ValidUser_variation_350,1550,PASSED
SEL-0351,WebE2ETest,Search_DonorByBloodGroup_variation_351,1688,PASSED
SEL-0352,WebE2ETest,Notifications_ClearAll_variation_352,2990,PASSED
SEL-0353,WebE2ETest,Profile_UpdateAvatar_variation_353,2114,PASSED
